e^iπ+1=0;100;;;;;https://www.baidu.com/s?ie=utf-8&wd=e^iπ+1=0
E=mc²;90;;;;;https://www.baidu.com/s?ie=utf-8&wd=E=mc²
F=ma;80;;;;;https://www.baidu.com/s?ie=utf-8&wd=F=ma
go func();30;;;;;https://www.baidu.com/s?ie=utf-8&wd=go func()
a²+b²=c²;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=a²+b²=c²
sin²x+cos²x=1;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=sin²x+cos²x=1
r=a(1-cosθ);1;;;;;https://www.baidu.com/s?ie=utf-8&wd=r=a(1-cosθ)
1+1=2;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=1+1=2
chan<-;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=chan<-
<-chan;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=<-chan
2sin(π/10);1;;;;;https://www.baidu.com/s?ie=utf-8&wd=2sin(π/10)
C=2πr;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=C=2πr
0x5f3759df;1;;;;;https://www.baidu.com/s?ie=utf-8&wd=0x5f3759df
